K,density_A,density_B,seed,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
1024,0.002,0.016,43,segfold-dtonly,3767,33820,,0.264094,0.53125,440,14998,33673,8.977967,51.1545,0.0,188.439873,0.001062,186.801168,0.56995,0.084948,3.596761,5253,1080000,33290
1024,0.002,0.016,44,segfold-dtonly,3871,34472,,0.260338,0.511719,484,15392,34320,8.905192,50.924826,0.0,188.788685,0.0,187.204598,0.54947,0.056575,3.492638,5661,1063360,33868
1024,0.002,0.032,42,segfold-dtonly,7590,67424,,0.281084,0.628906,1977,27708,66881,8.883267,53.713834,0.0,186.861265,0.000659,189.11278,0.736495,0.164032,4.40448,9530,2150016,65355
1024,0.002,0.032,43,segfold-dtonly,7832,67288,,0.272906,0.605469,2108,28060,66752,8.59142,52.53192,0.0,188.45927,0.001404,192.031027,0.536389,0.148876,4.508682,9386,2141440,65154
1024,0.002,0.032,44,segfold-dtonly,7873,68507,,0.272542,0.582031,2128,28741,67891,8.701511,53.007113,0.0,187.878191,0.002286,189.539693,0.568017,0.210593,4.855836,9849,2116544,66246
1024,0.002,0.064,42,segfold-dtonly,16073,135159,,0.272998,0.617188,5774,52878,133148,8.409071,51.10695,0.0,190.454178,0.0,198.190133,0.673801,0.298078,5.019598,17512,4295296,127215
1024,0.002,0.064,43,segfold-dtonly,16475,134880,,0.265898,0.617188,6009,53439,132708,8.18695,50.292625,0.0,191.756601,0.0,199.573839,0.482549,0.352291,5.360121,17231,4282368,126221
1024,0.002,0.064,44,segfold-dtonly,16885,138707,,0.261386,0.617188,6093,55475,136365,8.214806,49.46568,0.0,192.457744,0.000296,198.891916,0.507077,0.363459,5.358306,18258,4287424,129801
1024,0.002,0.128,42,segfold-dtonly,33562,269536,,0.259879,0.613281,8984,105289,261023,8.030987,47.463679,0.0,194.723467,0.0,203.452893,0.674632,0.505423,5.353346,31906,8589888,238916
1024,0.002,0.128,43,segfold-dtonly,34398,269118,,0.258417,0.613281,9371,106172,260442,7.823653,47.070469,0.0,195.520554,0.000552,204.46462,0.50282,0.503576,5.653788,31201,8565568,236880
1024,0.002,0.128,44,segfold-dtonly,35160,276986,,0.256122,0.613281,9470,110550,267590,7.877873,46.674289,0.0,195.797298,0.000796,204.335011,0.48686,0.58339,6.00492,32978,8564096,242939
1024,0.002,0.256,42,segfold-dtonly,66605,540611,,0.263822,0.671875,9544,207960,505333,8.116673,45.678778,0.0,196.070655,0.000946,203.417581,0.795105,0.647894,6.122438,55636,17195456,426449
1024,0.002,0.256,43,segfold-dtonly,68363,538037,,0.260822,0.625,9867,209095,502084,7.870295,45.045215,0.0,197.208417,0.00117,204.295716,0.587101,0.619911,6.430847,54131,17131328,419891
1024,0.002,0.256,44,segfold-dtonly,70925,555081,,0.256732,0.636719,10104,218346,516836,7.826309,44.347578,0.0,197.900938,0.000169,205.331858,0.571364,0.65902,6.37651,57065,17165056,429068
1024,0.004,0.001,42,segfold-dtonly,699,4123,,0.072073,0.128906,3,1795,4120,5.898426,4.379113,0.0,233.886981,0.0,227.569385,0.560801,0.0,0.194564,4078,66560,4114
